,Code,Description
0,19031,Mackey International Inc.: MAC
1,19032,Munz Northern Airlines Inc.: XY
2,19033,Cochise Airlines Inc.: COC
3,19034,Golden Gate Airlines Inc.: GSA
4,19035,Aeromech Inc.: RZZ
5,19036,Golden West Airlines Co.: GLW
6,19037,Puerto Rico Intl Airlines: PRN
7,19038,Air America Inc.: STZ
8,19039,Swift Aire Lines Inc.: SWT
9,19040,American Central Airlines: TSF
10,19041,Valdez Airlines: VEZ
11,19042,Southeast Alaska Airlines: WEB
12,19043,Altair Airlines Inc.: AAR
13,19044,Chitina Air Service: CHI
14,19045,Marco Island Airways Inc.: MRC
15,19046,Caribbean Air Services Inc.: OHZ
16,19047,Sundance Airlines: PRO
17,19048,Seair Alaska Airlines Inc.: SAI
18,19049,Southeast Airlines Inc.: SLZ
19,19050,Alaska Aeronautical Indust.: AAZ
20,19051,Imperial Airlines Inc.: IMP
21,19052,Trans Western Airlines Utah: TWA
22,19053,Wright Airlines Inc.: WRT
23,19054,Presidential Express: COL
24,19055,Mississippi Valley Airlines: MVA
25,19056,Channel Flying Inc.: CHL
26,19057,Rocky Mountain Airways Inc.: JCZ
27,19058,Midstate Airlines Inc.: MIS
28,19059,Sedalia Marshall Boonvl Stg: STG
29,19060,Inlet Airlines: CKI
30,19061,Command Airways Inc.: CMD
31,19062,Emerald Airlines: EMA
32,19063,Orion Air Inc.: ORI
33,19064,Pan Am Express: RAN
34,19065,Air Micronesia Inc.: AJ
35,19066,Sunbird Inc.: SKI
36,19067,Wings West Airlines: WWI
37,19068,Southcentral Air Inc.: AND
38,19069,Air Cargo Express Inc.: ACG
39,19070,Associated Aviation Act.: AAA
40,19071,Antilles Air Boats Inc.: AAB
41,19072,AAA Airlines: AAE
42,19073,Argosy Air Lines Inc.: AAL
43,19074,Air Bahia: ABH
44,19075,Airbama Incorporated: ABI
45,19076,Aeronaves Boringuena Inc.: ABO
46,19077,Alaska Central Airways Inc.: ACA
47,19078,Island Airlines Hawaii Inc.: ACH
48,19079,AAA-Action Air Carrier Inc.: ACI
49,19080,Air Cargo Enterprises Inc.: ACO
50,19081,Air Chaparral Inc.: ACP
51,19082,Alamo Commuter Airlines: ACS
52,19083,Air Central Inc. (1): ACT
53,19084,Air Central Inc.: ACK
54,19085,Astec Air East Inc.: AEC
55,19086,American Flag Airlines Inc.: AFA
56,19087,Air Cargo America Inc.: AGA
57,19088,All Island Air: AIA
58,19089,Air Express Inc.: AIE
59,19090,Air Mont. Inc.: AIM
60,19091,Air Indiana: AIN
61,19092,Air-Lift Associates Inc.: ALE
62,19093,Brandt Air: ALI
63,19094,All Seasons Air Pacific: ALL
64,19095,North American Airlines Inc.: AMA
65,19096,American Inter-Island Inc.: AMI
66,19097,Air Nebraska Inc.: ANB
67,19098,Airways Of New Mexico Inc.: ANM
68,19099,Metro Air Northeast Vermont: ANO
69,19100,Air North/Nenana: ANT
70,19101,Trans New York: AOI
71,19102,Arizona Pacific Inc.: API
72,19103,Appalachian Flying Service: APL
73,19104,Air Polynesia Inc.: APY
74,19105,Arizona Aero Corp.: ARI
75,19106,Arnold Aviation: ARN
76,19107,Air Oregon: ARO
77,19108,Arrowhead Airways Inc.: ARR
78,19109,Amistad Airlines: ASD
79,19110,Alpine Air Services Inc.: ASI
80,19111,Asap Air Inc.: ASP
81,19112,Astro Airways: AST
82,19113,Air Atlantic Airlines Inc.: ATN
83,19114,Pacific National Airways: ATO
84,19115,Atlantis Airlines Inc.: ATS
85,19116,Aerotransit Inc.: ATT
86,19117,Air Carolina: ATX
87,19118,Air Vectors Airways: AVA
88,19119,Aero Virgin Islands Corp.: AVI
89,19120,Aviation Services: AVS
90,19121,Southern Jersey Airways: AVZ
91,19122,Business Aircraft Corp.: BAC
92,19123,Brennan & Hargreaves Inc.: BAH
93,19124,Bankair Inc.: BAK
94,19125,Bard-Air Corp.: BAR
95,19126,Baja Cortez Airlines: BCA
96,19127,Bennington Aviation Inc.: BEN
97,19128,Beyer Aviation: BEY
98,19129,Blackhawk Airways Inc.: BHK
99,19130,Bighorn Airways Inc.: BHO
100,19131,Birchwood Air Service: BIR
101,19132,Bremerton Aviation Inc.: BMT
102,19133,Boise Air Service: BOA
103,19134,Brower Airways Inc.: BRO
104,19135,Burlington Airways Inc.: BUR
105,19136,Coleman Air Transport: CAC
106,19137,Crawford Aviation Inc.: CAI
107,19138,C & M Airlines: CAM
108,19139,Metro Air Northeast N Y: CAP
109,19140,Catalina Airlines Inc.: CAT
110,19141,Air Virginia: CAV
111,19142,Carriba Air Inc.: CBA
112,19143,Cen-Tex Airlines Inc.: CEN
113,19144,Century Airlines (Cal): CET
114,19145,Chandler Flyer: CHD
115,19146,Charter Airlines: CHE
116,19147,Hammonds Commuter Air Serv.: CHF
117,19148,Choi Aviation Inc.: CHO
118,19149,Christman Air System: CHS
119,19150,Cal Sierra Airlines: CIS
120,19151,Centennial Airlines: CNN
121,19152,Cotton Belt Aviation Inc.: COB
122,19153,Coker Aviation Inc.: COK
123,19154,Commutair: COM
124,19155,Coral Air Inc.: COR
