,Code,Description
0,01A,"Afognak Lake, AK: Afognak Lake Airport"
1,03A,"Granite Mountain, AK: Bear Creek Mining Strip"
2,04A,"Lik, AK: Lik Mining Camp"
3,05A,"Little Squaw, AK: Little Squaw Airport"
4,06A,"Kizhuyak, AK: Kizhuyak Bay"
5,07A,"Klawock, AK: Klawock Seaplane Base"
6,08A,"Elizabeth Island, AK: Elizabeth Island Airport"
7,09A,"Homer, AK: Augustin Island"
8,1B1,"Hudson, NY: Columbia County"
9,1G4,"Peach Springs, AZ: Grand Canyon West"
10,1N7,"Blairstown, NJ: Blairstown Airport"
11,1NY,"Penn Yan, NY: Penn Yan Airport"
12,6B0,"Middlebury, VT: Middlebury State"
13,7AK,"Akun, AK: Akun Airport"
14,8F3,"Crosbyton, TX: Crosbyton Municipal"
15,A01,"Fairbanks/Ft. Wainwright, AK: Blair Lake"
16,A02,"Deadmans Bay, AK: Deadmans Bay Airport"
17,A03,"Hallo Bay, AK: Hallo Bay Airport"
18,A04,"Red Lake, AK: Red Lake Airport"
19,A05,"Shell Lake, AK: Shell Lake Airport"
20,A06,"Kougarok, AK: Navigator Airstrip"
21,A07,"Selawik, AK: Roland Norton Memorial"
22,A08,"Pillar Bay, AK: Pillar Bay Airport"
23,A09,"Johnstone Point, AK: Johnstone Point Airport"
24,A11,"Bell Creek, AK: Bell Creek Airport"
25,A12,"Cinnabar, AK: Cinnabar Airport"
26,A13,"Mountaintop Mine, AK: Mountaintop Mine Airport"
27,A14,"Whitebear, AK: Whitebear Airport"
28,A15,"Puviaq, AK: Puviaq Airport"
29,A16,"Arley Lake, AK: Arley Lake Airport"
30,A17,"Port Vita, AK: Port Vita Airport"
31,A18,"Kantishna, AK: Kantishna Airport"
32,A1K,"Deadhorse1, AK: Point Thomson Airstrip"
33,A20,"Alpine, AK: Alpine Airstrip"
34,A21,"Serpentine, AK: Serpentine Airport"
35,A22,"Driftwood Bay, AK: Driftwood Bay Airport"
36,A23,"Bradley Lake, AK: Bradley Lake Airport"
37,A24,"Chilkat Lake, AK: Chilkat Lake Airport"
38,A25,"Nugget Creek, AK: Nugget Creek Airport"
39,A26,"Ivotuk, AK: Ivotuk Airstrip"
40,A27,"Pogo Mines, AK: Pogo Mines Airport"
